,county,state,count
126,Barbour,West Virginia,65
127,Barnes,North Dakota,69
128,Barnstable,Massachusetts,83
129,Barnwell,South Carolina,67
130,Barren,Kentucky,66
131,Barron,Wisconsin,63
132,Barrow,Georgia,75
133,Barry,Michigan,76
134,Barry,Missouri,70
135,Bartholomew,Indiana,81
136,Barton,Kansas,66
137,Bartow,Georgia,86
138,Bastrop,Texas,76
139,Bates,Missouri,76
140,Bath,Kentucky,64
141,Baxter,Arkansas,70
142,Bay,Florida,76
143,Bay,Michigan,84
144,Bayfield,Wisconsin,78
145,Beadle,South Dakota,87
146,Beaufort,North Carolina,71
147,Beaufort,South Carolina,83
148,Beauregard,Louisiana,76
149,Beaver,Oklahoma,59
150,Beaver,Pennsylvania,80
151,Beaverhead,Montana,62
152,Becker,Minnesota,55
153,Beckham,Oklahoma,67
154,Bedford,Pennsylvania,66
155,Bedford,Tennessee,72
156,Bedford,Virginia,75
157,Bee,Texas,58
158,Belknap,New Hampshire,79
159,Bell,Kentucky,18
160,Bell,Texas,84
161,Belmont,Ohio,83
162,Beltrami,Minnesota,70
163,Ben Hill,Georgia,73
164,Benewah,Idaho,11
165,Bennington,Vermont,90
166,Benson,North Dakota,29
167,Bent,Colorado,26
168,Benton,Arkansas,78
169,Benton,Indiana,54
170,Benton,Iowa,72
171,Benton,Minnesota,81
172,Benton,Mississippi,71
173,Benton,Missouri,71
174,Benton,Oregon,81
175,Benton,Tennessee,71
176,Benton,Washington,79
177,Benzie,Michigan,48
178,Bergen,New Jersey,93
179,Berkeley,South Carolina,77
180,Berkeley,West Virginia,73
181,Berks,Pennsylvania,79
182,Berkshire,Massachusetts,90
183,Bernalillo,New Mexico,86
184,Berrien,Georgia,67
185,Berrien,Michigan,76
186,Bertie,North Carolina,72
187,Bethel Census Area,Alaska,59
188,Bexar,Texas,114
189,Bibb,Alabama,67
190,Bibb,Georgia,78
191,Bienville,Louisiana,76
192,Big Horn,Montana,56
193,Big Horn,Wyoming,54
194,Big Stone,Minnesota,74
195,Bingham,Idaho,77
196,Black Hawk,Iowa,80
197,Blackford,Indiana,64
198,Bladen,North Carolina,63
199,Blaine,Idaho,83
200,Blaine,Oklahoma,32
201,Blair,Pennsylvania,71
202,Blanco,Texas,72
203,Bleckley,Georgia,67
204,Bledsoe,Tennessee,69
205,Blount,Alabama,72
206,Blount,Tennessee,77
207,Blue Earth,Minnesota,81
208,Bolivar,Mississippi,79
209,Bollinger,Missouri,71
210,Bon Homme,South Dakota,86
211,Bond,Illinois,68
212,Bonner,Idaho,67
213,Bonneville,Idaho,69
214,Boone,Arkansas,78
215,Boone,Illinois,61
216,Boone,Indiana,87
217,Boone,Iowa,69
218,Boone,Kentucky,71
219,Boone,Missouri,80
220,Boone,Nebraska,32
221,Boone,West Virginia,58
222,Bosque,Texas,51
223,Bossier,Louisiana,83
224,Botetourt,Virginia,76
225,Bottineau,North Dakota,17
226,Boulder,Colorado,83
227,Bourbon,Kansas,74
228,Bourbon,Kentucky,83
229,Bowie,Texas,81
230,Bowman,North Dakota,59
231,Box Butte,Nebraska,55
232,Box Elder,Utah,79
233,Boyd,Kentucky,68
234,Boyd,Nebraska,4
235,Boyle,Kentucky,69
236,Bracken,Kentucky,69
237,Bradford,Florida,75
238,Bradford,Pennsylvania,73
239,Bradley,Arkansas,79
240,Bradley,Tennessee,77
241,Branch,Michigan,66
242,Brantley,Georgia,60
243,Braxton,West Virginia,58
244,Brazoria,Texas,83
245,Brazos,Texas,80
246,Breathitt,Kentucky,75
247,Breckinridge,Kentucky,69
248,Bremer,Iowa,64
249,Brevard,Florida,80
250,Brewster,Texas,35
251,Briscoe,Texas,34
252,Bristol,Massachusetts,83
253,Bristol,Rhode Island,72
254,Bristol Bay Borough,Alaska,6
255,Bristol city,Virginia,70
256,Broadwater,Montana,78
257,Brooke,West Virginia,59
258,Brookings,South Dakota,73
259,Brooks,Georgia,68
260,Brooks,Texas,44
261,Broome,New York,83
262,Broomfield,Colorado,77
263,Broward,Florida,91
264,Brown,Illinois,35
265,Brown,Indiana,73
266,Brown,Kansas,32
267,Brown,Minnesota,66
268,Brown,Ohio,67
269,Brown,South Dakota,75
270,Brown,Texas,77
271,Brown,Wisconsin,79
272,Brule,South Dakota,2
273,Brunswick,North Carolina,83
274,Brunswick,Virginia,66
275,Bryan,Georgia,73
276,Bryan,Oklahoma,72
277,Buchanan,Iowa,73
278,Buchanan,Missouri,70
279,Buchanan,Virginia,59
280,Buckingham,Virginia,66
281,Bucks,Pennsylvania,86
282,Buena Vista,Iowa,59
283,Buena Vista city,Virginia,63
284,Buffalo,Nebraska,77
285,Buffalo,South Dakota,38
286,Buffalo,Wisconsin,66
287,Bullitt,Kentucky,70
288,Bulloch,Georgia,69
289,Bullock,Alabama,71
290,Buncombe,North Carolina,76
291,Bureau,Illinois,70
292,Burke,Georgia,74
293,Burke,North Carolina,72
294,Burke,North Dakota,65
295,Burleigh,North Dakota,80
296,Burleson,Texas,69
297,Burlington,New Jersey,87
298,Burnet,Texas,72
299,Burnett,Wisconsin,22
300,Burt,Nebraska,57
301,Butler,Alabama,72
302,Butler,Iowa,70
303,Butler,Kansas,84
304,Butler,Kentucky,69
305,Butler,Missouri,65
306,Butler,Nebraska,49
307,Butler,Ohio,83
308,Butler,Pennsylvania,76
309,Butte,California,76
310,Butts,Georgia,75
311,Cabarrus,North Carolina,85
312,Cabell,West Virginia,68
313,Cache,Utah,79
314,Caddo,Louisiana,86
315,Caddo,Oklahoma,70
316,Calaveras,California,73
317,Calcasieu,Louisiana,78
318,Caldwell,Kentucky,62
319,Caldwell,Louisiana,64
320,Caldwell,Missouri,65
321,Caldwell,North Carolina,72
322,Caldwell,Texas,69
323,Caledonia,Vermont,73
324,Calhoun,Alabama,79
325,Calhoun,Florida,66
326,Calhoun,Georgia,71
327,Calhoun,Illinois,61
328,Calhoun,Iowa,35
329,Calhoun,Michigan,76
330,Calhoun,Mississippi,72
331,Calhoun,South Carolina,80
332,Calhoun,Texas,71
333,Calhoun,West Virginia,40
334,Callahan,Texas,59
335,Callaway,Missouri,74
336,Calloway,Kentucky,77
337,Calumet,Wisconsin,78
338,Calvert,Maryland,78
339,Camas,Idaho,66
340,Cambria,Pennsylvania,74
341,Camden,Georgia,73
342,Camden,Missouri,74
343,Camden,New Jersey,91
344,Camden,North Carolina,39
345,Cameron,Louisiana,59
346,Cameron,Pennsylvania,69
347,Cameron,Texas,78
348,Camp,Texas,65
349,Campbell,Kentucky,70
350,Campbell,Tennessee,83
351,Campbell,Virginia,66
352,Campbell,Wyoming,77
353,Canadian,Oklahoma,81
354,Candler,Georgia,68
355,Cannon,Tennessee,71
356,Canyon,Idaho,77
357,Cape Girardeau,Missouri,73
358,Cape May,New Jersey,78
359,Carbon,Montana,65
360,Carbon,Pennsylvania,73
361,Carbon,Utah,63
362,Carbon,Wyoming,76
363,Caribou,Idaho,62
364,Carlisle,Kentucky,43
365,Carlton,Minnesota,66
366,Caroline,Maryland,76
367,Caroline,Virginia,63
368,Carroll,Arkansas,65
369,Carroll,Georgia,77
370,Carroll,Illinois,69
371,Carroll,Indiana,70
372,Carroll,Iowa,85
373,Carroll,Kentucky,69
374,Carroll,Maryland,83
375,Carroll,Mississippi,68
376,Carroll,Missouri,44
377,Carroll,New Hampshire,81
378,Carroll,Ohio,75
379,Carroll,Tennessee,76
380,Carroll,Virginia,66
381,Carson,Texas,48
382,Carson City,Nevada,85
383,Carter,Kentucky,61
384,Carter,Missouri,71
385,Carter,Oklahoma,72
386,Carter,Tennessee,69
387,Carteret,North Carolina,77
388,Carver,Minnesota,89
389,Cascade,Montana,76
390,Casey,Kentucky,52
391,Cass,Illinois,46
392,Cass,Indiana,66
393,Cass,Iowa,53
394,Cass,Michigan,70
395,Cass,Minnesota,74
396,Cass,Missouri,81
397,Cass,Nebraska,85
398,Cass,North Dakota,80
399,Cass,Texas,77
400,Cassia,Idaho,73
401,Castro,Texas,76
402,Caswell,North Carolina,68
403,Catahoula,Louisiana,77
404,Catawba,North Carolina,76
405,Catoosa,Georgia,74
406,Catron,New Mexico,65
407,Cattaraugus,New York,69
408,Cayuga,New York,74
409,Cecil,Maryland,75
410,Cedar,Iowa,73
411,Cedar,Missouri,67
412,Cedar,Nebraska,39
413,Centre,Pennsylvania,77
414,Cerro Gordo,Iowa,75
415,Chaffee,Colorado,76
416,Chambers,Alabama,78
417,Chambers,Texas,73
418,Champaign,Illinois,75
419,Champaign,Ohio,73
420,Chariton,Missouri,70
421,Charles,Maryland,84
422,Charles City,Virginia,79
423,Charles Mix,South Dakota,87
424,Charleston,South Carolina,91
425,Charlevoix,Michigan,84
426,Charlotte,Florida,90
427,Charlotte,Virginia,62
428,Charlottesville city,Virginia,80
429,Charlton,Georgia,87
430,Chase,Kansas,49
431,Chase,Nebraska,12
432,Chatham,Georgia,77
433,Chatham,North Carolina,91
434,Chattahoochee,Georgia,70
435,Chattooga,Georgia,75
436,Chautauqua,Kansas,66
437,Chautauqua,New York,72
438,Chaves,New Mexico,74
439,Cheatham,Tennessee,79
440,Cheboygan,Michigan,68
441,Chelan,Washington,93
442,Chemung,New York,73
443,Chenango,New York,79
444,Cherokee,Alabama,72
445,Cherokee,Georgia,89
446,Cherokee,Iowa,45
447,Cherokee,Kansas,78
448,Cherokee,North Carolina,75
449,Cherokee,Oklahoma,70
450,Cherokee,South Carolina,64
451,Cherokee,Texas,70
452,Cherry,Nebraska,62
453,Chesapeake city,Virginia,73
454,Cheshire,New Hampshire,77
455,Chester,Pennsylvania,84
456,Chester,South Carolina,74
457,Chester,Tennessee,75
458,Chesterfield,South Carolina,73
459,Chesterfield,Virginia,83
460,Cheyenne,Colorado,29
461,Cheyenne,Kansas,37
462,Cheyenne,Nebraska,60
463,Chickasaw,Iowa,60
464,Chickasaw,Mississippi,75
465,Chicot,Arkansas,71
466,Childress,Texas,47
467,Chilton,Alabama,72
468,Chippewa,Michigan,74
469,Chippewa,Minnesota,46
470,Chippewa,Wisconsin,77
471,Chisago,Minnesota,77
472,Chittenden,Vermont,86
473,Choctaw,Alabama,71
474,Choctaw,Mississippi,73
475,Choctaw,Oklahoma,70
476,Chowan,North Carolina,63
477,Christian,Illinois,77
478,Christian,Kentucky,78
479,Christian,Missouri,77
480,Churchill,Nevada,53
481,Cibola,New Mexico,73
482,Cimarron,Oklahoma,45
483,Citrus,Florida,82
484,Clackamas,Oregon,85
485,Claiborne,Louisiana,76
486,Claiborne,Mississippi,68
487,Claiborne,Tennessee,73
488,Clallam,Washington,78
489,Clare,Michigan,76
490,Clarendon,South Carolina,77
491,Clarion,Pennsylvania,69
492,Clark,Arkansas,78
493,Clark,Illinois,67
494,Clark,Indiana,79
495,Clark,Kansas,43
496,Clark,Kentucky,82
497,Clark,Missouri,63
498,Clark,Nevada,92
499,Clark,Ohio,79
500,Clark,South Dakota,68
501,Clark,Washington,91
502,Clark,Wisconsin,71
503,Clarke,Alabama,65
504,Clarke,Georgia,82
505,Clarke,Iowa,61
506,Clarke,Mississippi,69
507,Clarke,Virginia,66
508,Clatsop,Oregon,73
509,Clay,Alabama,72
510,Clay,Arkansas,60
511,Clay,Florida,85
512,Clay,Georgia,67
513,Clay,Illinois,52
514,Clay,Indiana,68
515,Clay,Iowa,66
516,Clay,Kansas,70
517,Clay,Kentucky,47
518,Clay,Minnesota,77
519,Clay,Mississippi,76
520,Clay,Missouri,74
521,Clay,Nebraska,56
522,Clay,North Carolina,66
523,Clay,South Dakota,68
524,Clay,Tennessee,65
525,Clay,Texas,65
526,Clay,West Virginia,30
527,Clayton,Georgia,82
528,Clayton,Iowa,71
529,Clear Creek,Colorado,84
530,Clearfield,Pennsylvania,73
531,Clearwater,Minnesota,69
532,Cleburne,Alabama,72
533,Cleburne,Arkansas,81
534,Clermont,Ohio,76
535,Cleveland,Arkansas,81
536,Cleveland,North Carolina,72
537,Cleveland,Oklahoma,82
538,Clinch,Georgia,75
539,Clinton,Illinois,82
540,Clinton,Indiana,70
541,Clinton,Iowa,70
542,Clinton,Kentucky,62
543,Clinton,Michigan,78
544,Clinton,Missouri,74
545,Clinton,New York,80
546,Clinton,Ohio,75
547,Clinton,Pennsylvania,63
548,Cloud,Kansas,64
549,Coahoma,Mississippi,79
550,Coal,Oklahoma,17
551,Cobb,Georgia,90
552,Cochise,Arizona,76
553,Cochran,Texas,43
554,Cocke,Tennessee,76
555,Coconino,Arizona,79
556,Codington,South Dakota,74
557,Coffee,Alabama,64
558,Coffee,Georgia,75
559,Coffee,Tennessee,68
560,Coffey,Kansas,70
561,Coke,Texas,31
562,Colbert,Alabama,72
563,Cole,Missouri,80
564,Coleman,Texas,34
565,Coles,Illinois,59
566,Colfax,Nebraska,64
567,Colfax,New Mexico,57
568,Colleton,South Carolina,75
569,Collier,Florida,87
570,Collin,Texas,88
571,Collingsworth,Texas,31
572,Colonial Heights city,Virginia,56
573,Colorado,Texas,65
574,Colquitt,Georgia,73
575,Columbia,Arkansas,73
576,Columbia,Florida,75
577,Columbia,Georgia,79
578,Columbia,New York,77
579,Columbia,Oregon,70
580,Columbia,Pennsylvania,75
581,Columbia,Washington,85
582,Columbia,Wisconsin,78
583,Columbiana,Ohio,77
584,Columbus,North Carolina,68
585,Colusa,California,70
586,Comal,Texas,73
587,Comanche,Kansas,14
588,Comanche,Oklahoma,71
589,Comanche,Texas,65
590,Concho,Texas,56
591,Concordia,Louisiana,66
592,Conecuh,Alabama,65
593,Conejos,Colorado,29
594,Contra Costa,California,94
595,Converse,Wyoming,69
596,Conway,Arkansas,73
597,Cook,Georgia,67
598,Cook,Illinois,133
599,Cooke,Texas,56
600,Cooper,Missouri,72
601,Coos,New Hampshire,63
602,Coos,Oregon,55
603,Coosa,Alabama,71
604,Copiah,Mississippi,84
605,Corson,South Dakota,57
606,Cortland,New York,75
607,Coryell,Texas,72
608,Coshocton,Ohio,80
609,Costilla,Colorado,70
610,Cottle,Texas,39
611,Cotton,Oklahoma,67
612,Cottonwood,Minnesota,68
613,Covington,Alabama,70
614,Covington,Mississippi,69
615,Covington city,Virginia,27
616,Coweta,Georgia,83
617,Cowley,Kansas,64
618,Cowlitz,Washington,77
619,Craig,Oklahoma,71
620,Craig,Virginia,59
621,Craighead,Arkansas,78
622,Crane,Texas,78
623,Craven,North Carolina,83
624,Crawford,Arkansas,73
625,Crawford,Georgia,61
626,Crawford,Illinois,67
627,Crawford,Indiana,69
628,Crawford,Iowa,67
629,Crawford,Kansas,72
630,Crawford,Michigan,70
631,Crawford,Missouri,67
632,Crawford,Ohio,73
633,Crawford,Pennsylvania,71
634,Crawford,Wisconsin,65
635,Creek,Oklahoma,72
636,Crenshaw,Alabama,71
637,Crisp,Georgia,73
638,Crittenden,Arkansas,78
639,Crittenden,Kentucky,64
640,Crockett,Tennessee,48
641,Crook,Oregon,63
642,Crook,Wyoming,62
643,Crosby,Texas,59
644,Cross,Arkansas,73
645,Crow Wing,Minnesota,65
646,Crowley,Colorado,78
647,Cullman,Alabama,77
648,Culpeper,Virginia,75
649,Cumberland,Illinois,83
650,Cumberland,Kentucky,64
651,Cumberland,Maine,84
652,Cumberland,New Jersey,77
653,Cumberland,North Carolina,75
654,Cumberland,Pennsylvania,84
655,Cumberland,Tennessee,78
656,Cumberland,Virginia,64
657,Cuming,Nebraska,65
658,Currituck,North Carolina,68
659,Curry,New Mexico,73
660,Curry,Oregon,60
661,Custer,Colorado,64
662,Custer,Idaho,71
663,Custer,Nebraska,60
664,Custer,Oklahoma,78
665,Custer,South Dakota,1
666,Cuyahoga,Ohio,88
667,Dade,Georgia,67
668,Dakota,Minnesota,85
669,Dakota,Nebraska,54
670,Dale,Alabama,65
671,Dallam,Texas,59
672,Dallas,Alabama,72
673,Dallas,Arkansas,62
674,Dallas,Iowa,83
675,Dallas,Missouri,59
676,Dallas,Texas,87
677,Dane,Wisconsin,121
678,Danville city,Virginia,74
679,Dare,North Carolina,64
680,Darke,Ohio,80
681,Darlington,South Carolina,77
682,Dauphin,Pennsylvania,75
683,Davidson,North Carolina,77
684,Davidson,Tennessee,89
685,Davie,North Carolina,75
686,Daviess,Indiana,61
687,Daviess,Kentucky,78
688,Daviess,Missouri,51
689,Davis,Iowa,37
690,Davis,Utah,91
691,Davison,South Dakota,87
692,Dawes,Nebraska,27
693,Dawson,Georgia,77
694,Dawson,Nebraska,75
695,Dawson,Texas,68
696,Day,South Dakota,37
697,De Soto,Louisiana,77
698,De Witt,Illinois,63
699,DeKalb,Alabama,71
700,DeKalb,Georgia,88
701,DeKalb,Illinois,76
702,DeKalb,Indiana,72
703,DeKalb,Missouri,65
704,DeKalb,Tennessee,73
705,DeSoto,Florida,75
706,DeSoto,Mississippi,79
707,DeWitt,Texas,78
708,Deaf Smith,Texas,76
709,Dearborn,Indiana,73
710,Decatur,Georgia,72
711,Decatur,Indiana,73
712,Decatur,Iowa,9
713,Decatur,Tennessee,58
714,Deer Lodge,Montana,68
715,Defiance,Ohio,76
716,Del Norte,California,64
717,Delaware,Indiana,76
718,Delaware,Iowa,59
719,Delaware,New York,85
720,Delaware,Ohio,79
721,Delaware,Oklahoma,72
722,Delaware,Pennsylvania,91
723,Delta,Colorado,73
724,Delta,Michigan,67
725,Delta,Texas,58
726,Dent,Missouri,21
727,Denton,Texas,82
728,Denver,Colorado,91
729,Des Moines,Iowa,71
730,Deschutes,Oregon,86
731,Desha,Arkansas,81
732,Deuel,South Dakota,69
733,Dewey,Oklahoma,59
734,Dewey,South Dakota,2
735,Dickens,Texas,58
736,Dickey,North Dakota,3
737,Dickinson,Iowa,70
738,Dickinson,Kansas,52
739,Dickinson,Michigan,64
740,Dickson,Tennessee,77
741,Dillingham Census Area,Alaska,5
742,Dillon,South Carolina,76
743,Dimmit,Texas,55
744,Dinwiddie,Virginia,59
745,District of Columbia,District of Columbia,90
746,Divide,North Dakota,69
747,Dixie,Florida,62
748,Dixon,Nebraska,46
749,Dodge,Georgia,72
750,Dodge,Minnesota,76
751,Dodge,Nebraska,72
752,Dodge,Wisconsin,74
753,Doniphan,Kansas,73
754,Donley,Texas,64
755,Dooly,Georgia,67
756,Door,Wisconsin,67
757,Dorchester,Maryland,65
758,Dorchester,South Carolina,78
759,Dougherty,Georgia,82
760,Douglas,Colorado,92
761,Douglas,Georgia,77
762,Douglas,Illinois,72
763,Douglas,Kansas,80
764,Douglas,Minnesota,68
765,Douglas,Missouri,5
766,Douglas,Nebraska,109
767,Douglas,Nevada,74
768,Douglas,Oregon,89
769,Douglas,South Dakota,39
770,Douglas,Washington,74
771,Douglas,Wisconsin,77
772,Doña Ana,New Mexico,77
773,Drew,Arkansas,72
774,DuPage,Illinois,83
775,Dubois,Indiana,74
776,Dubuque,Iowa,78
777,Duchesne,Utah,63
778,Dukes,Massachusetts,72
779,Dunklin,Missouri,77
780,Dunn,North Dakota,73
781,Dunn,Wisconsin,77
782,Duplin,North Carolina,72
783,Durham,North Carolina,81
784,Dutchess,New York,85
785,Duval,Florida,85
786,Duval,Texas,52
787,Dyer,Tennessee,78
788,Eagle,Colorado,91
789,Early,Georgia,78
790,East Baton Rouge,Louisiana,80
791,East Carroll,Louisiana,69
792,East Feliciana,Louisiana,71
793,Eastland,Texas,72
794,Eaton,Michigan,78
795,Eau Claire,Wisconsin,78
796,Echols,Georgia,60
797,Ector,Texas,68
798,Eddy,New Mexico,72
799,Eddy,North Dakota,63
800,Edgar,Illinois,7
801,Edgecombe,North Carolina,69
802,Edgefield,South Carolina,76
803,Edmonson,Kentucky,66
804,Edmunds,South Dakota,7
805,Edwards,Illinois,23
806,Edwards,Kansas,44
807,Effingham,Georgia,78
808,Effingham,Illinois,63
809,El Dorado,California,76
810,El Paso,Colorado,91
811,El Paso,Texas,84
812,Elbert,Colorado,76
813,Elbert,Georgia,63
814,Elk,Pennsylvania,59
815,Elkhart,Indiana,76
816,Elko,Nevada,78
817,Elliott,Kentucky,16
818,Ellis,Kansas,55
819,Ellis,Texas,80
820,Ellsworth,Kansas,32
821,Elmore,Alabama,84
822,Elmore,Idaho,67
823,Emanuel,Georgia,66
824,Emery,Utah,63
825,Emmet,Iowa,23
826,Emmet,Michigan,75
827,Emmons,North Dakota,61
828,Emporia city,Virginia,63
829,Erath,Texas,72
830,Erie,New York,82
831,Erie,Ohio,76
832,Erie,Pennsylvania,77
833,Escambia,Alabama,70
834,Escambia,Florida,81
835,Essex,Massachusetts,87
836,Essex,New Jersey,85
837,Essex,New York,79
838,Essex,Vermont,58
839,Essex,Virginia,50
840,Estill,Kentucky,3
841,Etowah,Alabama,72
842,Evangeline,Louisiana,76
843,Evans,Georgia,54
844,Fairbanks North Star Borough,Alaska,81
845,Fairfax,Virginia,90
846,Fairfax city,Virginia,56
847,Fairfield,Connecticut,89
848,Fairfield,Ohio,73
849,Fairfield,South Carolina,81
850,Fall River,South Dakota,68
851,Falls,Texas,73
852,Falls Church city,Virginia,53
853,Fannin,Georgia,73
854,Fannin,Texas,77
855,Faribault,Minnesota,70
856,Faulk,South Dakota,70
857,Faulkner,Arkansas,79
858,Fauquier,Virginia,71
859,Fayette,Alabama,67
860,Fayette,Georgia,88
861,Fayette,Illinois,69
862,Fayette,Indiana,79
863,Fayette,Iowa,76
864,Fayette,Kentucky,91
865,Fayette,Ohio,72
866,Fayette,Pennsylvania,75
867,Fayette,Tennessee,76
868,Fayette,Texas,72
869,Fayette,West Virginia,59
870,Fentress,Tennessee,67
871,Ferry,Washington,72
872,Fillmore,Minnesota,77
873,Fillmore,Nebraska,44
874,Finney,Kansas,68
875,Fisher,Texas,21
876,Flagler,Florida,75
877,Flathead,Montana,78
878,Fleming,Kentucky,55
879,Florence,South Carolina,77
880,Florence,Wisconsin,61
881,Floyd,Georgia,88
882,Floyd,Indiana,81
883,Floyd,Iowa,35
884,Floyd,Kentucky,69
885,Floyd,Texas,58
886,Floyd,Virginia,57
887,Fluvanna,Virginia,75
888,Fond du Lac,Wisconsin,86
889,Ford,Illinois,66
890,Ford,Kansas,80
891,Forest,Pennsylvania,64
892,Forest,Wisconsin,30
893,Forrest,Mississippi,86
894,Forsyth,Georgia,81
895,Forsyth,North Carolina,85
896,Fort Bend,Texas,93
897,Foster,North Dakota,72
898,Fountain,Indiana,71
899,Franklin,Alabama,74
900,Franklin,Arkansas,60
901,Franklin,Florida,63
902,Franklin,Georgia,71
903,Franklin,Idaho,7
904,Franklin,Illinois,71
905,Franklin,Indiana,80
906,Franklin,Iowa,60
907,Franklin,Kansas,83
908,Franklin,Kentucky,79
909,Franklin,Louisiana,69
910,Franklin,Maine,71
911,Franklin,Massachusetts,79
912,Franklin,Mississippi,77
913,Franklin,Missouri,73
914,Franklin,Nebraska,56
915,Franklin,New York,72
916,Franklin,North Carolina,77
917,Franklin,Ohio,83
918,Franklin,Pennsylvania,77
919,Franklin,Tennessee,75
920,Franklin,Texas,68
921,Franklin,Vermont,76
922,Franklin,Virginia,76
923,Franklin,Washington,80
924,Franklin city,Virginia,66
925,Frederick,Maryland,81
926,Frederick,Virginia,72
927,Fredericksburg city,Virginia,72
928,Freeborn,Minnesota,65
929,Freestone,Texas,51
930,Fremont,Colorado,73
931,Fremont,Idaho,72
932,Fremont,Iowa,28
933,Fremont,Wyoming,84
934,Fresno,California,90
935,Frio,Texas,58
936,Frontier,Nebraska,37
937,Fulton,Arkansas,43
938,Fulton,Georgia,95
939,Fulton,Illinois,56
940,Fulton,Indiana,70
941,Fulton,Kentucky,47
942,Fulton,New York,77
943,Fulton,Ohio,70
944,Fulton,Pennsylvania,61
945,Furnas,Nebraska,48
946,Gadsden,Florida,72
947,Gage,Nebraska,64
948,Gaines,Texas,72
949,Galax city,Virginia,70
950,Gallatin,Illinois,61
951,Gallatin,Kentucky,55
952,Gallatin,Montana,84
953,Gallia,Ohio,75
954,Galveston,Texas,84
955,Garden,Nebraska,4
956,Garfield,Colorado,82
957,Garfield,Nebraska,1
958,Garfield,Oklahoma,68
959,Garfield,Utah,69
960,Garland,Arkansas,82
961,Garrard,Kentucky,52
962,Garrett,Maryland,74
963,Garvin,Oklahoma,77
964,Garza,Texas,36
965,Gasconade,Missouri,65
966,Gaston,North Carolina,79
967,Gates,North Carolina,64
